state,location,plz
Nordrhein Westfalen,Warburg,34414
Nordrhein Westfalen,Bielefeld,33607
Nordrhein Westfalen,Hamm,59075
Baden Württemberg,Mannheim,68165
Sachsen,Limbach Oberfrohna,9212
Rheinland Pfalz,Wörth am Rhein,76744
Brandenburg,Brandenburg an der Havel,14772
Sachsen,Bad Lausick,4651
Niedersachsen,Aurich,26603
Schleswig Holstein,Geesthacht,21502
Baden Württemberg,Karlsruhe,76131
Rheinland Pfalz,Frankenthal Pfalz,67227
Berlin,Berlin,12685
Hessen,Eltville am Rhein,65346
Mecklenburg Vorpommern,Rehna,19217
Sachsen,Eilenburg,4838
Nordrhein Westfalen,Dortmund,44329
Hessen,Frankfurt am Main,60314
Hessen,Hanau,63450
Sachsen,Chemnitz,9113
Mecklenburg Vorpommern,Diedrichshagen,17498
Sachsen,Leipzig,4157
Berlin,Berlin,12557
Hamburg,Hamburg,20097
Sachsen,Leipzig,4103
Sachsen,Bad Gottleuba Berggießhübel,1816
Sachsen,Dresden,1099
Niedersachsen,Emden,26721
Bayern,München,80469
Sachsen,Dresden,1067
Baden Württemberg,Schorndorf,73614
Sachsen,Markneukirchen,8258
Nordrhein Westfalen,Gelsenkirchen,45883
Sachsen Anhalt,Altmarkkreis Salzwedel,29416
Hessen,Kassel,34117
Schleswig Holstein,Schwarzenbek,21493
Nordrhein Westfalen,Hamm,59067
Hessen,Frankfurt am Main,60388
Bayern,Straubing,94315
Niedersachsen,Lahstedt,31246
Nordrhein Westfalen,Paderborn,33098
Nordrhein Westfalen,Düren,52351
Hessen,Altenstadt,63674
Bayern,Olching,82140
Sachsen,Dresden,1139
Hamburg,Hamburg,22527
Schleswig Holstein,Kiel,24116
Thüringen,Mühlhausen/Thüringen,99974
Nordrhein Westfalen,Essen,45143
Berlin,Berlin,13057
Nordrhein Westfalen,Rösrath,51503
Mecklenburg Vorpommern,Boizenburg/Elbe,19258
Sachsen,Burkhardtsdorf,9235
Schleswig Holstein,Flensburg,24944
Nordrhein Westfalen,Bocholt,46397
Nordrhein Westfalen,Bielefeld,33659
Berlin,Berlin,12629
Nordrhein Westfalen,Krefeld,47800
Baden Württemberg,Grenzach Wyhlen,79639
Sachsen Anhalt,Bad Lauchstädt,6246
Nordrhein Westfalen,Moers,47441
Nordrhein Westfalen,Datteln,45711
Berlin,Berlin,10435
Sachsen,Chemnitz,9114
Nordrhein Westfalen,Hagen,58095
Sachsen Anhalt,Magdeburg,39130
Sachsen,Niesky,2906
Niedersachsen,Nordhorn,48527
Nordrhein Westfalen,Gladbeck,45699
Niedersachsen,Bad Harzburg,38667
Nordrhein Westfalen,Essen,45239
Sachsen Anhalt,Stendal,39576
Hessen,Lampertheim,68623
Sachsen,Leipzig,4177
Mecklenburg Vorpommern,Grevesmühlen,23936
Nordrhein Westfalen,Essen,45327
Nordrhein Westfalen,Werne,59368
Sachsen Anhalt,Magdeburg,39104
Hamburg,Hamburg,20537
Nordrhein Westfalen,Duisburg,47167
Sachsen,Glauchau,8371
Sachsen,Crimmitschau,8451
Sachsen,Tharandt,1737
Sachsen,Annaberg Buchholz,9456
Sachsen Anhalt,Hötensleben,39393
Baden Württemberg,Stuttgart,70329
Nordrhein Westfalen,Velbert,42549
Brandenburg,Potsdam,14469
Rheinland Pfalz,Lauterecken,67742
Nordrhein Westfalen,Duisburg,47229
Nordrhein Westfalen,Gelsenkirchen,45899
Nordrhein Westfalen,Wesel,46485
Sachsen Anhalt,Naumburg Saale,6618
Hessen,Frankfurt am Main,60438
Niedersachsen,Holzminden,37603
Mecklenburg Vorpommern,Sanitz,18190
Hessen,Frankfurt am Main,60433
Rheinland Pfalz,Limburgerhof,67117
Baden Württemberg,Laupheim,88471
Sachsen,Chemnitz,9112
Bayern,Coburg,96450
Bremen,Bremerhaven,27568
Nordrhein Westfalen,Köln,50670
Sachsen,Kitzscher,4567
Bayern,Sailauf,63877
Bremen,Bremen,28329
Sachsen,Zwenkau,4442
Baden Württemberg,Sallneck,79692
Sachsen,Colditz,4680
Sachsen,Görlitz,2828
Sachsen Anhalt,Dessau Roßlau,6844
Sachsen Anhalt,Quedlinburg,6484
Baden Württemberg,Bietigheim Bissingen,74321
Nordrhein Westfalen,Ratingen,40878
Nordrhein Westfalen,Herne,44625
Rheinland Pfalz,Deidesheim,67146
Sachsen Anhalt,Lutherstadt Wittenberg,6886
Bayern,Fürth,90762
Baden Württemberg,Karlsruhe,76139
Bayern,Schernfeld,85132
Nordrhein Westfalen,Düsseldorf,40221
Sachsen Anhalt,Querfurt,6268
Bayern,München,81476
Nordrhein Westfalen,Bochum,44809
Bayern,Reichertshofen,85084
Nordrhein Westfalen,Altena,58762
Berlin,Berlin,13127
Sachsen,Leipzig,4277
Nordrhein Westfalen,Selm,59379
Rheinland Pfalz,Trier,54290
Nordrhein Westfalen,Siegburg,53721
Niedersachsen,Hannover,30179
Hessen,Limburg an der Lahn,65549
Sachsen Anhalt,Kabelsketal,6184
Sachsen Anhalt,Magdeburg,39122
Nordrhein Westfalen,Mönchengladbach,41236
Nordrhein Westfalen,Mülheim an der Ruhr,45479
Berlin,Berlin,10589
Nordrhein Westfalen,Wuppertal,42287
Hamburg,Hamburg,21077
Nordrhein Westfalen,Düsseldorf,40229
Nordrhein Westfalen,Bonn,53115
Sachsen,Zwickau,8056
Sachsen Anhalt,Barby Elbe,39249
Nordrhein Westfalen,Duisburg,47179
Sachsen Anhalt,Jeßnitz Anhalt,6800
Nordrhein Westfalen,Düsseldorf,40589
Hamburg,Hamburg,22605
Baden Württemberg,Mannheim,68161
Sachsen,Leipzig,4328
Sachsen,Leipzig,4315
Nordrhein Westfalen,Herford,32049
Nordrhein Westfalen,Neuss,41472
Sachsen,Plauen,8523
Nordrhein Westfalen,Lippstadt,59555
Bayern,München,81673
Sachsen,Falkenau,9557
Bayern,Erding,85435
Hessen,Bensheim,64625
Brandenburg,Bersteland,15910
Thüringen,Gera,7546
Nordrhein Westfalen,Essen,45133
Nordrhein Westfalen,Wuppertal,42115
Nordrhein Westfalen,Köln,51069
Nordrhein Westfalen,Herne,44649
Nordrhein Westfalen,Dortmund,44287
Nordrhein Westfalen,Lünen,44536
Sachsen Anhalt,Bernburg Saale,6406
Sachsen Anhalt,Zeitz,6712
Sachsen Anhalt,Glindenberg,39326
Nordrhein Westfalen,Dortmund,44143
Rheinland Pfalz,Mainz,55122
Nordrhein Westfalen,Kleve,47533
Sachsen,Dresden,1157
Hessen,Hofheim am Taunus,65719
Nordrhein Westfalen,Duisburg,47169
Baden Württemberg,Metzingen,72555
Nordrhein Westfalen,Köln,50939
Hessen,Hainburg,63512
Schleswig Holstein,Henstedt Ulzburg,24558
Niedersachsen,Sögel,49759
Sachsen,Kreischa,1731
Hessen,Wiesbaden,65205
Nordrhein Westfalen,Düsseldorf,40476
Sachsen Anhalt,Halle Saale,6110
Hessen,Bad Homburg vor der Höhe,61350
Baden Württemberg,Donaueschingen,78166
Nordrhein Westfalen,Gummersbach,51647
Bayern,Selb,95100
Thüringen,Hildburghausen,98646
Mecklenburg Vorpommern,Wismar,23970
Baden Württemberg,Bad Rappenau,74906
Niedersachsen,Barsinghausen,30890
Sachsen Anhalt,Merseburg,6217
Nordrhein Westfalen,Soest,59494
Nordrhein Westfalen,Bonn,53117
Rheinland Pfalz,Pirmasens,66953
Nordrhein Westfalen,Frechen,50226
Thüringen,Steinbach Hallenberg,98587
Baden Württemberg,Lorch,73547
Nordrhein Westfalen,Gladbeck,45968
Sachsen,Plauen,8527
Berlin,Berlin,10115
Nordrhein Westfalen,Mülheim an der Ruhr,45478
Niedersachsen,Oldenburg Oldenburg,26131
Rheinland Pfalz,Mayen,56727
Nordrhein Westfalen,Hattingen,45527
Sachsen Anhalt,Dessau Roßlau,6862
Sachsen,Dresden,1169
Sachsen,Waldheim,4736
Nordrhein Westfalen,Heiligenhaus,42579
Hessen,Hanau,63456
Brandenburg,Prenzlau,17291
Nordrhein Westfalen,Unna,59427
Nordrhein Westfalen,Essen,45277
Nordrhein Westfalen,Düsseldorf,40227
Sachsen,Wurzen,4808
Sachsen Anhalt,Magdeburg,39108
Nordrhein Westfalen,Marl,45772
Rheinland Pfalz,Bingen am Rhein,55411
Thüringen,Erfurt,99086
Nordrhein Westfalen,Gelsenkirchen,45884
Schleswig Holstein,Norderstedt,22850
Nordrhein Westfalen,Iserlohn,58638
Niedersachsen,Königslutter am Elm,38154
Nordrhein Westfalen,Essen,45147
Sachsen Anhalt,Elsteraue,6729
Sachsen,Schönheide,8304
Schleswig Holstein,Schenefeld,22869
Niedersachsen,Burgdorf,31303
Nordrhein Westfalen,Kürten,51515
Nordrhein Westfalen,Dortmund,44225
Nordrhein Westfalen,Rheda Wiedenbrück,33378
Niedersachsen,Hannoversch Münden,34346
Mecklenburg Vorpommern,Schwerin,19058
Baden Württemberg,Karlsruhe,76135
Sachsen,Meerane,8393
Bayern,Starnberg,82319
Nordrhein Westfalen,Wesel,46483
Nordrhein Westfalen,Duisburg,47226
Nordrhein Westfalen,Fröndenberg/Ruhr,58730
Sachsen,Dresden,1217
Baden Württemberg,Filderstadt,70794
Thüringen,Erfurt,99096
Nordrhein Westfalen,Bonn,53227
Nordrhein Westfalen,Hilchenbach,57271
Nordrhein Westfalen,Hattingen,45529
Sachsen,Leipzig,4179
Nordrhein Westfalen,Bünde,32257
Sachsen,Leipzig,4249
Sachsen Anhalt,Dessau Roßlau,6842
Hessen,Kalbach,36148
Nordrhein Westfalen,Schwelm,58332
Nordrhein Westfalen,Gevelsberg,58285
Bayern,Höchberg,97204
Nordrhein Westfalen,Dortmund,44339
Baden Württemberg,Karlsruhe,76185
Brandenburg,Lindenau,1945
Brandenburg,Boitzenburger Land,17268
Baden Württemberg,Göppingen,73033
Sachsen,Sankt Egidien,9356
Berlin,Berlin,10437
Hessen,Witzenhausen,37213
Nordrhein Westfalen,Gelsenkirchen,45891
Bayern,München,80997
Schleswig Holstein,Elmshorn,25335
Niedersachsen,Lüneburg,21335
Baden Württemberg,Kornwestheim,70806
Sachsen,Pirna,1796
Niedersachsen,Wilhelmshaven,26388
Berlin,Berlin,12105
Sachsen,Leipzig,4318
Sachsen,Chemnitz,9119
Niedersachsen,Wolfsburg,38440
Niedersachsen,Einbeck,37574
Hessen,Frankfurt am Main,60594
Sachsen,Leipzig,4205
Nordrhein Westfalen,Bochum,44892
Sachsen Anhalt,Weißenfels,6667
Sachsen,Treuen,8233
Rheinland Pfalz,Niederneisen,65629
Hamburg,Hamburg,22117
Baden Württemberg,Sulzfeld,75056
Sachsen,Dresden,1159
Sachsen,Leipzig,4105
Nordrhein Westfalen,Düsseldorf,40211
Bayern,Freising,85356
Nordrhein Westfalen,Bielefeld,33739
Schleswig Holstein,Lübeck,23560
Sachsen Anhalt,Bitterfeld Wolfen,6749
Sachsen,Kirchberg,8107
Nordrhein Westfalen,Gelsenkirchen,45881
Berlin,Berlin,12047
Bayern,München,81545
Nordrhein Westfalen,Gelsenkirchen,45896
Niedersachsen,Großheide,26532
Nordrhein Westfalen,Porta Westfalica,32457
Baden Württemberg,Hügelsheim,76549
Baden Württemberg,Lörrach,79541
Hamburg,Hamburg,22391
Niedersachsen,Göttingen,37085
Nordrhein Westfalen,Grefrath,47929
Bayern,Babenhausen,87727
Nordrhein Westfalen,Bergisch Gladbach,51429
Sachsen,Taucha,4425
Nordrhein Westfalen,Köln,50667
Nordrhein Westfalen,Essen,45356
Sachsen,Leipzig,4289
Thüringen,Eisenach,99817
Baden Württemberg,Backnang,71522
Niedersachsen,Stelle,21435
Hessen,Frankfurt am Main,60325
Sachsen,Radebeul,1445
Niedersachsen,Laatzen,30880
Rheinland Pfalz,Mainz,55131
Sachsen Anhalt,Altmarkkreis Salzwedel,39638
Sachsen Anhalt,Halle Saale,6130
Hessen,Wehrheim,61273
Nordrhein Westfalen,Hagen,58097
Baden Württemberg,Stuttgart,70178
Sachsen Anhalt,Salzmünde,6198
Berlin,Berlin,14052
Brandenburg,Peitz,3185
Hessen,Frankfurt am Main,65929
Nordrhein Westfalen,Düsseldorf,40235
Nordrhein Westfalen,Düsseldorf,40470
Bayern,Geretsried,82515
Sachsen,Remse,8373
Berlin,Berlin,14199
Sachsen,Zwickau,8066
Mecklenburg Vorpommern,Prohn,18445
Schleswig Holstein,Altenholz,24161
Bayern,Augsburg,86150
Baden Württemberg,Stuttgart,70599
Bayern,München,80336
Nordrhein Westfalen,Essen,45309
Bayern,München,81667
Berlin,Berlin,13353
Bayern,München,81825
Nordrhein Westfalen,Aachen,52074
Thüringen,Erfurt,99092
Sachsen,Plauen,8525
Bayern,Diespeck,91456
Sachsen,Chemnitz,9127
Nordrhein Westfalen,Wuppertal,42285
Berlin,Berlin,12559
Brandenburg,Velten,16727
Hessen,Felsberg,34587
Mecklenburg Vorpommern,Stralsund,18437
Sachsen,Leipzig,4159
Nordrhein Westfalen,Düsseldorf,40215
Nordrhein Westfalen,Köln,50859
Sachsen,Leipzig,4329
Sachsen,Görlitz,2826
Baden Württemberg,Heilbronn,74081
Brandenburg,Groß Pankow Prignitz,16928
Rheinland Pfalz,Altrip,67122
Sachsen,Meißen,1662
Mecklenburg Vorpommern,Wismar,23966
Thüringen,Erfurt,99097
Hessen,Reiskirchen,35447
Bayern,Augsburg,86152
Nordrhein Westfalen,Dortmund,44369
Sachsen,Hoyerswerda,2977
Bayern,Konzell,94357
Nordrhein Westfalen,Krefeld,47803
Niedersachsen,Seevetal,21218
Hessen,Griesheim,64347
Berlin,Berlin,13629
Nordrhein Westfalen,Krefeld,47805
Bayern,Landshut,84028
Nordrhein Westfalen,Wuppertal,42109
Rheinland Pfalz,Cochem,56812
Nordrhein Westfalen,Mülheim an der Ruhr,45475
Sachsen,Waldenburg,8397
Rheinland Pfalz,Bad Münster am Stein Ebernburg,55583
Rheinland Pfalz,Germersheim,76726
Nordrhein Westfalen,Herne,44651
Nordrhein Westfalen,Solingen,42699
Baden Württemberg,Heidelberg,69120
Bayern,Passau,94032
Baden Württemberg,Stuttgart,70190
Nordrhein Westfalen,Marl,45770
Nordrhein Westfalen,Dortmund,44141
Nordrhein Westfalen,Dortmund,44289
Nordrhein Westfalen,Duisburg,47053
Nordrhein Westfalen,Witten,54852
Sachsen Anhalt,Altmarkkreis Salzwedel,29410
Bayern,Hof,95028
Mecklenburg Vorpommern,Neubrandenburg,17036
Nordrhein Westfalen,Düsseldorf,40629
Bayern,Finsing,85464
Sachsen,Striegistal,9661
Sachsen,Plauen,8529
Brandenburg,Spremberg,3130
Brandenburg,Schönefeld,12529
Niedersachsen,Wallenhorst,49134
Hessen,Wiesbaden,65189
Nordrhein Westfalen,Wuppertal,42279
Bayern,Neufahrn in Niederbayern,84088
Bayern,Donauwörth,86609
Mecklenburg Vorpommern,Güstrow,18273
Thüringen,Gera,7549
Mecklenburg Vorpommern,Barth,18356
Schleswig Holstein,Wankendorf,24601
Sachsen,Dresden,1324
Nordrhein Westfalen,Mönchengladbach,41199
Hessen,Frankfurt am Main,60316
Nordrhein Westfalen,Remscheid,42853
Nordrhein Westfalen,Essen,45131
Baden Württemberg,Neuffen,72639
Nordrhein Westfalen,Dortmund,44227
Mecklenburg Vorpommern,Schwerin,19063
Sachsen Anhalt,Halle Saale,6128
Rheinland Pfalz,Koblenz,56077
Sachsen Anhalt,Halle Saale,6118
Baden Württemberg,Langenau,89129
Nordrhein Westfalen,Meerbusch,40667
Baden Württemberg,Heidenheim an der Brenz,89522
Nordrhein Westfalen,Bergkamen,59192
Niedersachsen,Tostedt,21255
Sachsen,Dresden,1279
Sachsen,Delitzsch,4509
Baden Württemberg,Tettnang,88069
Hessen,Frankfurt am Main,60385
Hessen,Frankfurt am Main,60323
Hessen,Kassel,34128
Nordrhein Westfalen,Köln,51107
Brandenburg,Luckenwalde,14943
Sachsen,Leipzig,4109
Nordrhein Westfalen,Castrop Rauxel,44579
Rheinland Pfalz,Montabaur,56410
Niedersachsen,Unterlüß,29345
Nordrhein Westfalen,Mönchengladbach,41065
Brandenburg,Schwielowsee,14548
Nordrhein Westfalen,Plettenberg,58840
Niedersachsen,Hildesheim,31134
Sachsen,Auerbach/Vogtland,8209
Niedersachsen,Langwedel,27299
Bayern,Passau,94034
Baden Württemberg,Eppelheim,69214
Hessen,Rüsselsheim am Main,65428
Nordrhein Westfalen,Monheim am Rhein,40789
Brandenburg,Wildau,15745
Hessen,Bad Soden am Taunus,65812
Brandenburg,Brieselang,14565
Niedersachsen,Hannover,30175
Sachsen,Chemnitz,9116
Bayern,Karlsfeld,85757
Hessen,Frankfurt am Main,60326
Sachsen Anhalt,Zerbst/Anhalt,39261
Niedersachsen,Rotenburg Wümme,27356
Schleswig Holstein,Eutin,23701
Schleswig Holstein,Pinneberg,25421
Nordrhein Westfalen,Stolberg Rheinland,52222
Sachsen,Leipzig,4347
Sachsen,Chemnitz,9117
Nordrhein Westfalen,Essen,45326
Niedersachsen,Sögel,49751
Nordrhein Westfalen,Düsseldorf,40225
Baden Württemberg,Pforzheim,75175
Baden Württemberg,Allmendingen,89604
Hessen,Wiesbaden,65193
Sachsen,Nossen,1683
Nordrhein Westfalen,Dortmund,44319
Thüringen,Suhl,98527
Berlin,Berlin,10551
Schleswig Holstein,Bad Oldesloe,23843
Nordrhein Westfalen,Wuppertal,42107
Mecklenburg Vorpommern,Grimmen,18507
Niedersachsen,Braunschweig,38114
Niedersachsen,Oldenburg Oldenburg,26133
Baden Württemberg,Bruchsal,76646
Rheinland Pfalz,Andernach,56626
Hessen,Bad Hersfeld,36251
Sachsen,Bautzen,2625
Bayern,München,80337
Nordrhein Westfalen,Vreden,48691
Nordrhein Westfalen,Herdecke,58313
Thüringen,Teistungen,37339
Berlin,Berlin,12347
Hessen,Darmstadt,64283
Bayern,Regensburg,93053
Nordrhein Westfalen,Duisburg,47055
Niedersachsen,Hannover,30173
Thüringen,Nordhausen,99734
Thüringen,Sonneberg,96515
Bayern,Nürnberg,90402
Baden Württemberg,Eislingen/Fils,73054
Mecklenburg Vorpommern,Heringsdorf,17424
Nordrhein Westfalen,Essen,45127
Nordrhein Westfalen,Ahaus,48683
Brandenburg,Cottbus,3044
Sachsen,Kamenz,1917
Bayern,Forchheim,91301
Sachsen,Leipzig,4129
Hessen,Gersfeld Rhön,36129
Schleswig Holstein,Ratzeburg,23909
Brandenburg,Lübbenau/Spreewald,3222
Sachsen Anhalt,Halberstadt,38820
Nordrhein Westfalen,Bochum,44801
Bayern,Erlangen,91054
Niedersachsen,Stolzenau,31592
Nordrhein Westfalen,Aachen,52064
Nordrhein Westfalen,Minden,32427
Berlin,Berlin,13125
Hessen,Bad Wildungen,34537
Rheinland Pfalz,Partenheim,55288
Schleswig Holstein,Heide,25746
Nordrhein Westfalen,Wuppertal,42283
Sachsen,Dresden,1189
Niedersachsen,Syke,28857
Sachsen,Oschatz,4758
Bayern,Augsburg,86153
Nordrhein Westfalen,Wuppertal,42327
Rheinland Pfalz,Mainz,55118
Bayern,Neusäß,86356
Nordrhein Westfalen,Köln,50933
Brandenburg,Eisenhüttenstadt,15890
Sachsen Anhalt,Halle Saale,6114
Hamburg,Hamburg,22399
Nordrhein Westfalen,Bochum,44791
Hessen,Wiesbaden,65203
Brandenburg,Cottbus,3048
Sachsen,Brand Erbisdorf,9618
Sachsen,Sebnitz,1855
Bayern,Schöllnach,94508
Nordrhein Westfalen,Oberhausen,46045
Sachsen,Stolpen,1833
Rheinland Pfalz,Neustadt an der Weinstraße,67433
Nordrhein Westfalen,Bad Honnef,53604
Sachsen,Rechenberg Bienenmühle,9623
Baden Württemberg,Tuttlingen,78532
Niedersachsen,Achim,28832
Berlin,Berlin,10243
Nordrhein Westfalen,Remscheid,42899
Nordrhein Westfalen,Münster,48145
Niedersachsen,Herzberg am Harz,37412
Nordrhein Westfalen,Aachen,52062
Nordrhein Westfalen,Dortmund,44139
Niedersachsen,Garbsen,30826
Bayern,Estenfeld,97230
Nordrhein Westfalen,Hagen,58135
Niedersachsen,Uetze,31311
Baden Württemberg,Alpirsbach,72275
Nordrhein Westfalen,Solingen,42651
Brandenburg,Senftenberg,1968
Brandenburg,Potsdam,14480
Hessen,Wiesbaden,65191
Nordrhein Westfalen,Wuppertal,42369
Sachsen,Leipzig,4349
Mecklenburg Vorpommern,Stralsund,18435
Nordrhein Westfalen,Gelsenkirchen,45892
Berlin,Berlin,10245
Bayern,Regensburg,93051
Hessen,Marburg,35037
Sachsen,Ellefeld,8236
Bayern,Rammingen,86871
Baden Württemberg,Denkendorf,73770
Niedersachsen,Stade,21680
Bremen,Bremerhaven,27570
Baden Württemberg,Stuttgart,70180
Sachsen Anhalt,Staßfurt,39418
Nordrhein Westfalen,Ratingen,40880
Nordrhein Westfalen,Solingen,42697
Rheinland Pfalz,Birkenfeld,55765
Sachsen Anhalt,Magdeburg,39112
Niedersachsen,Wolfsburg,38448
Sachsen,Oberlungwitz,9353
Nordrhein Westfalen,Bielefeld,33611
Sachsen,Chemnitz,9123
Niedersachsen,Cuxhaven,27472
Bayern,Schönau,84337
Hessen,Kassel,34132
Nordrhein Westfalen,Duisburg,47259
Nordrhein Westfalen,Essen,45355
Rheinland Pfalz,Essenheim,55270
Bayern,München,80639
Hessen,Darmstadt,64295
Nordrhein Westfalen,Oberhausen,46047
Mecklenburg Vorpommern,Sassnitz,18546
Bayern,Grünwald,82031
Niedersachsen,Osnabrück,49088
Nordrhein Westfalen,Marl,45768
Thüringen,Gotha,99867
Sachsen,Görlitz,2827
Hessen,Offenbach am Main,63067
Saarland,Großrosseln,66352
Sachsen,Riesa,1587
Saarland,Püttlingen,66346
Schleswig Holstein,Rendsburg,24768
Mecklenburg Vorpommern,Schwerin,19061
Sachsen Anhalt,Halle Saale,6122
Baden Württemberg,Stuttgart,70197
Baden Württemberg,Aichtal,72631
Nordrhein Westfalen,Remscheid,42857
Nordrhein Westfalen,Essen,45144
Hamburg,Hamburg,22047
Berlin,Berlin,10711
Bayern,Konradsreuth,95176
Bayern,München,81539
Thüringen,Wiehe,6571
Bayern,München,80538
Baden Württemberg,Freiburg im Breisgau,79104
Bayern,Nürnberg,90489
Baden Württemberg,Weingarten,88250
Saarland,Saarbrücken,66113
Niedersachsen,Hameln,31787
Thüringen,Saalfeld/Saale,7318
Hamburg,Hamburg,20144
Mecklenburg Vorpommern,Rostock,18147
Nordrhein Westfalen,Wermelskirchen,42929
Rheinland Pfalz,Alzey,55232
Bayern,München,81541
Bayern,München,81479
Sachsen,Heidenau,1809
Brandenburg,Potsdam,14473
Berlin,Berlin,13407
Sachsen,Zittau,2763
Sachsen,Dresden,1069
Schleswig Holstein,Tarp,24963
Saarland,Saarlouis,66740
Nordrhein Westfalen,Duisburg,47137
Hessen,Idstein,65510
Hessen,Bad Camberg,65520
Mecklenburg Vorpommern,Wismar,23968
Nordrhein Westfalen,Iserlohn,58644
Mecklenburg Vorpommern,Parchim,19370
Niedersachsen,Neustadt am Rübenberge,31535
Nordrhein Westfalen,Köln,50668
Baden Württemberg,Crailsheim,74564
Niedersachsen,Clausthal Zellerfeld,38678
Berlin,Berlin,13357
Berlin,Berlin,10719
Hessen,Ober Ramstadt,64372
Sachsen,Leipzig,4155
Baden Württemberg,Oedheim,74229
Nordrhein Westfalen,Wuppertal,42277
Sachsen,Coswig,1640
Rheinland Pfalz,Bad Ems,56130
Nordrhein Westfalen,Oberhausen,46117
Sachsen,Leipzig,4299
Schleswig Holstein,Halstenbek,25469
